"corp_name","ticker","corp_code","agency","long_term_rating","long_term_outlook","long_term_date","short_term_rating","short_term_outlook","short_term_date","source_url"
"(사)과학기술인공제회","","","한국신용평가","","","","A1","","2026.06.11","https://www.kisrating.com/"
"(의)송은의료재단","","","한국신용평가","","","","A1","","2026.05.07","https://www.kisrating.com/"
"(의)우리의료재단","","","한국신용평가","","","","A1","","2026.05.28","https://www.kisrating.com/"
"(재)한국장학재단","","","한국신용평가","","","","A1","","2026.06.25","https://www.kisrating.com/"
"(주)BNK금융지주","","","한국신용평가","AAA","안정적","2026.06.24","","","","https://www.kisrating.com/"
"(주)BNK투자증권","","","한국신용평가","A+","안정적","2026.06.15","A1","","2026.06.25","https://www.kisrating.com/"
"(주)JB금융지주","","","한국신용평가","AA+","안정적","2026.07.08","","","","https://www.kisrating.com/"
"(주)LF","","","한국신용평가","AA-","안정적","2026.06.17","","","","https://www.kisrating.com/"
"(주)경남은행","","","한국신용평가","AA+","안정적","2026.07.03","","","","https://www.kisrating.com/"
"(주)고려저축은행","","","한국신용평가","BBB+","안정적","2026.06.26","","","","https://www.kisrating.com/"
"(주)광주신세계","","","한국신용평가","AA-","안정적","2026.06.12","A1","","2026.06.12","https://www.kisrating.com/"
"(주)광주은행","","","한국신용평가","AA+","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)국민은행","","","한국신용평가","AAA","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)녹십자","","","한국신용평가","A+","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)녹십자홀딩스","","","한국신용평가","A+","안정적","2026.06.30","","","","https://www.kisrating.com/"
"(주)농심홀딩스","","","한국신용평가","AA","안정적","2026.06.19","","","","https://www.kisrating.com/"
"(주)다올저축은행","","","한국신용평가","BBB","안정적","2026.06.12","","","","https://www.kisrating.com/"
"(주)다우기술","","","한국신용평가","A","안정적","2026.06.24","","","","https://www.kisrating.com/"
"(주)대동","","","한국신용평가","BBB","안정적","2026.06.04","A3","","2026.06.04","https://www.kisrating.com/"
